,overall,value_eur,pace,shooting,passing,dribbling,defending,physic
42,87,53500000,62.0,72.0,75.0,72.0,85.0,89.0
43,87,60000000,88.0,86.0,80.0,87.0,42.0,68.0
44,87,19500000,66.0,74.0,79.0,78.0,84.0,79.0
45,87,18500000,62.0,54.0,72.0,72.0,87.0,78.0
46,87,45000000,76.0,82.0,80.0,86.0,39.0,77.0
47,87,32500000,63.0,63.0,74.0,72.0,87.0,79.0
48,87,40000000,88.0,83.0,80.0,91.0,35.0,53.0
49,87,41000000,51.0,58.0,76.0,72.0,89.0,76.0
50,87,41000000,64.0,55.0,72.0,66.0,88.0,79.0
51,87,40000000,90.0,69.0,81.0,83.0,79.0,73.0
52,87,50000000,69.0,74.0,85.0,90.0,69.0,63.0
54,87,52000000,89.0,79.0,85.0,91.0,35.0,47.0
55,86,61000000,95.0,81.0,79.0,86.0,38.0,70.0
56,86,51500000,74.0,41.0,73.0,70.0,86.0,77.0
57,86,52000000,69.0,41.0,59.0,66.0,87.0,82.0
58,86,54500000,65.0,60.0,84.0,90.0,79.0,66.0
59,86,50000000,69.0,63.0,69.0,69.0,86.0,82.0
61,86,48000000,72.0,69.0,86.0,84.0,79.0,78.0
62,86,51000000,71.0,77.0,83.0,91.0,59.0,60.0
63,86,52000000,77.0,82.0,80.0,87.0,61.0,78.0
64,86,38000000,62.0,81.0,86.0,81.0,74.0,70.0
65,86,42500000,68.0,68.0,87.0,85.0,75.0,67.0
66,86,39000000,84.0,79.0,84.0,87.0,48.0,68.0
67,86,28500000,58.0,58.0,69.0,70.0,87.0,79.0
68,86,46500000,79.0,80.0,84.0,90.0,52.0,64.0
69,86,41000000,41.0,80.0,88.0,79.0,70.0,69.0
70,86,43500000,72.0,83.0,79.0,78.0,55.0,71.0
71,86,44500000,80.0,85.0,63.0,81.0,39.0,76.0
72,86,46000000,82.0,85.0,75.0,86.0,40.0,74.0
73,85,50000000,67.0,58.0,66.0,68.0,83.0,84.0
75,85,52000000,79.0,64.0,84.0,87.0,76.0,76.0
76,85,45000000,83.0,45.0,62.0,63.0,85.0,80.0
77,85,46500000,72.0,42.0,55.0,50.0,86.0,82.0
78,85,50500000,67.0,79.0,80.0,83.0,77.0,84.0
79,85,47000000,67.0,68.0,77.0,77.0,82.0,80.0
80,85,49500000,70.0,78.0,79.0,81.0,78.0,78.0
81,85,45000000,68.0,69.0,78.0,77.0,85.0,83.0
82,85,43500000,85.0,62.0,77.0,79.0,80.0,75.0
83,85,45000000,69.0,45.0,52.0,54.0,86.0,82.0
84,85,45000000,75.0,45.0,68.0,65.0,86.0,80.0
85,85,49000000,77.0,83.0,87.0,85.0,65.0,74.0
89,85,46000000,75.0,82.0,73.0,72.0,35.0,84.0
90,85,37500000,82.0,25.0,42.0,60.0,86.0,81.0
92,85,38000000,83.0,73.0,81.0,80.0,80.0,76.0
93,85,46000000,75.0,84.0,61.0,77.0,36.0,69.0
94,85,38000000,81.0,47.0,78.0,81.0,82.0,80.0
95,85,45000000,80.0,75.0,86.0,83.0,50.0,66.0
96,85,14000000,56.0,88.0,77.0,77.0,34.0,78.0
97,85,34000000,89.0,78.0,81.0,86.0,39.0,55.0
98,85,34500000,63.0,85.0,71.0,80.0,31.0,71.0
99,85,25000000,75.0,66.0,76.0,78.0,83.0,81.0
100,85,37500000,91.0,87.0,82.0,82.0,58.0,76.0
101,85,28000000,81.0,74.0,83.0,89.0,77.0,79.0
102,85,31500000,73.0,74.0,80.0,79.0,83.0,81.0
103,85,33000000,83.0,65.0,77.0,80.0,82.0,82.0
104,85,34500000,78.0,84.0,77.0,85.0,35.0,64.0
105,85,40500000,68.0,75.0,86.0,82.0,74.0,79.0
106,85,40500000,55.0,86.0,87.0,86.0,50.0,63.0
107,85,38000000,75.0,71.0,78.0,84.0,85.0,84.0
108,84,44500000,88.0,72.0,77.0,90.0,36.0,60.0
109,84,46000000,84.0,78.0,79.0,84.0,44.0,65.0
110,84,42500000,93.0,79.0,80.0,87.0,36.0,57.0
112,84,36500000,90.0,65.0,80.0,84.0,78.0,71.0
113,84,41500000,72.0,81.0,79.0,82.0,71.0,79.0
114,84,37500000,81.0,54.0,70.0,71.0,83.0,82.0
115,84,41000000,69.0,71.0,81.0,86.0,73.0,70.0
116,84,40500000,87.0,80.0,81.0,84.0,32.0,78.0
117,84,40000000,81.0,77.0,80.0,81.0,75.0,79.0
118,84,40500000,82.0,78.0,81.0,85.0,40.0,68.0
119,84,40500000,92.0,76.0,77.0,87.0,29.0,60.0
120,84,39500000,90.0,82.0,75.0,86.0,43.0,69.0
121,84,39000000,78.0,82.0,81.0,88.0,33.0,77.0
123,84,37500000,71.0,76.0,84.0,85.0,49.0,59.0
124,84,33000000,85.0,72.0,84.0,81.0,80.0,76.0
126,84,31500000,66.0,41.0,62.0,68.0,86.0,74.0
127,84,36500000,89.0,77.0,79.0,89.0,55.0,61.0
128,84,6500000,67.0,51.0,57.0,60.0,85.0,85.0
129,84,23500000,56.0,75.0,85.0,82.0,71.0,67.0
132,84,26500000,69.0,77.0,83.0,83.0,72.0,69.0
133,84,23000000,72.0,51.0,52.0,60.0,84.0,83.0
134,84,20500000,62.0,66.0,76.0,78.0,83.0,73.0
135,84,29500000,70.0,72.0,86.0,84.0,24.0,56.0
136,84,25500000,48.0,55.0,69.0,63.0,86.0,83.0
138,84,19500000,60.0,84.0,71.0,75.0,46.0,73.0
139,84,31000000,77.0,73.0,78.0,84.0,76.0,78.0
140,84,29500000,84.0,80.0,78.0,82.0,62.0,77.0
141,84,19500000,68.0,80.0,71.0,75.0,65.0,86.0
142,84,23500000,67.0,79.0,80.0,78.0,85.0,86.0
143,84,25000000,66.0,50.0,72.0,65.0,84.0,82.0
144,84,25500000,70.0,55.0,77.0,73.0,85.0,76.0
145,84,24000000,89.0,78.0,75.0,83.0,47.0,64.0
146,84,31000000,66.0,74.0,84.0,84.0,72.0,71.0
147,84,29000000,72.0,81.0,77.0,80.0,78.0,85.0
148,84,25500000,91.0,63.0,76.0,77.0,81.0,81.0
149,84,31500000,78.0,79.0,83.0,81.0,51.0,66.0
150,84,31500000,94.0,73.0,79.0,91.0,43.0,61.0
151,84,30500000,77.0,77.0,84.0,81.0,63.0,68.0
152,84,29500000,68.0,80.0,84.0,85.0,41.0,71.0
153,84,28000000,70.0,84.0,84.0,85.0,43.0,67.0
154,84,31500000,84.0,78.0,79.0,89.0,38.0,59.0
155,84,30500000,88.0,79.0,79.0,83.0,47.0,64.0
156,84,25000000,64.0,41.0,57.0,60.0,84.0,87.0
157,83,36000000,65.0,78.0,78.0,83.0,74.0,69.0
158,83,32000000,63.0,40.0,55.0,66.0,85.0,79.0
159,83,35000000,77.0,78.0,82.0,85.0,65.0,72.0
160,83,32000000,80.0,62.0,82.0,78.0,78.0,70.0
161,83,36500000,77.0,82.0,68.0,81.0,29.0,74.0
162,83,35000000,69.0,85.0,64.0,76.0,39.0,74.0
163,83,34500000,89.0,81.0,72.0,86.0,41.0,71.0
164,83,34500000,77.0,82.0,80.0,81.0,57.0,72.0
165,83,31000000,71.0,27.0,59.0,57.0,83.0,81.0
166,83,34000000,69.0,77.0,79.0,78.0,76.0,79.0
168,83,34500000,90.0,79.0,76.0,84.0,36.0,70.0
169,83,34500000,91.0,81.0,75.0,85.0,33.0,67.0
170,83,31000000,78.0,45.0,68.0,72.0,83.0,80.0
171,83,35500000,92.0,82.0,73.0,84.0,45.0,77.0
172,83,30000000,68.0,36.0,70.0,72.0,84.0,77.0
173,83,33000000,73.0,74.0,79.0,80.0,77.0,80.0
174,83,29500000,85.0,63.0,79.0,84.0,77.0,71.0
175,83,34500000,92.0,81.0,67.0,83.0,35.0,69.0
176,83,34000000,83.0,76.0,82.0,85.0,59.0,67.0
177,83,30500000,74.0,45.0,57.0,66.0,83.0,81.0
178,83,34000000,81.0,80.0,82.0,84.0,43.0,62.0
179,83,28500000,78.0,69.0,79.0,79.0,80.0,76.0
180,83,32500000,77.0,79.0,81.0,86.0,55.0,63.0
182,83,32500000,90.0,80.0,75.0,87.0,39.0,64.0
183,83,32500000,67.0,83.0,63.0,76.0,35.0,82.0
185,83,32000000,91.0,76.0,72.0,88.0,27.0,74.0
186,83,32000000,79.0,84.0,68.0,80.0,36.0,63.0
187,83,32000000,81.0,79.0,71.0,80.0,31.0,72.0
188,83,32000000,72.0,81.0,62.0,76.0,51.0,82.0
189,83,27500000,42.0,57.0,77.0,74.0,79.0,85.0
190,83,31500000,81.0,75.0,81.0,87.0,60.0,66.0
191,83,27000000,72.0,37.0,61.0,61.0,83.0,79.0
192,83,29500000,74.0,76.0,83.0,81.0,55.0,50.0
194,83,25500000,73.0,61.0,73.0,72.0,82.0,74.0
195,83,29500000,75.0,76.0,82.0,84.0,57.0,57.0
197,83,31000000,92.0,79.0,76.0,87.0,42.0,66.0
198,83,30500000,83.0,80.0,81.0,83.0,41.0,69.0
199,83,29000000,55.0,63.0,84.0,81.0,70.0,73.0
203,83,12000000,50.0,53.0,65.0,64.0,84.0,79.0
204,83,12000000,48.0,41.0,61.0,63.0,86.0,72.0
205,83,9500000,69.0,89.0,75.0,80.0,30.0,65.0
207,83,16500000,65.0,82.0,69.0,77.0,43.0,72.0
208,83,9500000,64.0,49.0,60.0,68.0,84.0,74.0
209,83,24500000,80.0,82.0,78.0,84.0,31.0,67.0
210,83,16500000,43.0,60.0,67.0,62.0,82.0,81.0
212,83,22500000,72.0,79.0,78.0,83.0,83.0,82.0
213,83,19500000,61.0,73.0,84.0,82.0,77.0,70.0
214,83,25000000,73.0,82.0,64.0,75.0,49.0,85.0
215,83,19500000,51.0,74.0,78.0,77.0,80.0,80.0
216,83,16500000,61.0,65.0,74.0,70.0,82.0,77.0
217,83,23500000,66.0,83.0,83.0,83.0,45.0,70.0
218,83,22000000,64.0,70.0,83.0,77.0,78.0,80.0
219,83,25500000,56.0,81.0,84.0,80.0,57.0,69.0
220,83,25500000,68.0,77.0,79.0,80.0,68.0,74.0
221,83,22000000,54.0,71.0,80.0,79.0,80.0,71.0
222,83,22000000,54.0,65.0,80.0,77.0,82.0,74.0
224,83,19000000,56.0,57.0,63.0,59.0,83.0,78.0
225,83,22500000,91.0,72.0,77.0,88.0,66.0,67.0
226,83,22000000,73.0,59.0,70.0,78.0,85.0,78.0
227,83,25500000,76.0,67.0,80.0,86.0,63.0,62.0
228,83,27000000,90.0,80.0,74.0,82.0,44.0,70.0
229,83,24000000,63.0,72.0,82.0,81.0,74.0,73.0
230,83,27000000,84.0,82.0,77.0,85.0,39.0,61.0
231,83,19000000,56.0,50.0,61.0,63.0,86.0,82.0
232,83,24000000,65.0,63.0,72.0,74.0,82.0,85.0
233,83,27000000,73.0,85.0,73.0,85.0,30.0,71.0
234,83,27500000,81.0,84.0,62.0,72.0,33.0,75.0
235,83,23500000,80.0,43.0,56.0,64.0,85.0,77.0
236,83,27000000,87.0,77.0,83.0,84.0,35.0,72.0
237,82,31000000,75.0,82.0,79.0,83.0,39.0,61.0
238,82,30500000,91.0,77.0,75.0,84.0,33.0,64.0
239,82,31000000,85.0,80.0,72.0,86.0,39.0,71.0
240,82,29000000,76.0,68.0,81.0,86.0,67.0,70.0
241,82,30000000,77.0,81.0,57.0,77.0,41.0,82.0
243,82,29000000,71.0,73.0,76.0,88.0,65.0,66.0
244,82,27000000,75.0,67.0,77.0,80.0,81.0,75.0
245,82,29000000,62.0,74.0,83.0,76.0,70.0,73.0
246,82,26500000,75.0,39.0,67.0,67.0,81.0,83.0
247,82,30000000,89.0,75.0,76.0,85.0,40.0,73.0
249,82,26000000,92.0,57.0,69.0,81.0,77.0,75.0
252,82,26000000,64.0,39.0,55.0,64.0,85.0,74.0
253,82,29000000,83.0,80.0,75.0,86.0,54.0,65.0
254,82,29000000,94.0,80.0,72.0,80.0,41.0,82.0
255,82,29000000,93.0,76.0,73.0,83.0,41.0,66.0
256,82,29000000,95.0,71.0,74.0,86.0,47.0,61.0
258,82,27000000,73.0,72.0,77.0,77.0,79.0,84.0
259,82,27500000,67.0,74.0,82.0,84.0,64.0,70.0
260,82,23000000,61.0,46.0,68.0,67.0,83.0,76.0
261,82,27000000,78.0,76.0,83.0,87.0,33.0,53.0
262,82,22500000,55.0,35.0,54.0,56.0,84.0,72.0
263,82,24000000,72.0,43.0,67.0,63.0,82.0,78.0
265,82,23500000,86.0,64.0,77.0,81.0,79.0,73.0
266,82,23500000,81.0,57.0,72.0,76.0,80.0,81.0
269,82,26000000,80.0,72.0,77.0,87.0,51.0,58.0
270,82,26000000,71.0,78.0,85.0,86.0,56.0,70.0
271,82,23000000,77.0,73.0,74.0,75.0,83.0,82.0
273,82,26000000,69.0,82.0,68.0,75.0,40.0,81.0
274,82,22000000,78.0,63.0,81.0,78.0,77.0,73.0
275,82,22500000,90.0,52.0,76.0,80.0,74.0,76.0
276,82,26500000,76.0,84.0,79.0,79.0,41.0,83.0
277,82,21000000,74.0,37.0,66.0,64.0,81.0,79.0
278,82,21500000,71.0,49.0,69.0,65.0,83.0,81.0
279,82,22500000,89.0,65.0,76.0,80.0,78.0,78.0
280,82,23000000,50.0,53.0,64.0,69.0,81.0,84.0
281,82,26000000,82.0,77.0,80.0,86.0,47.0,64.0
282,82,25500000,70.0,71.0,81.0,83.0,33.0,62.0
283,82,26000000,87.0,76.0,77.0,81.0,67.0,78.0
284,82,26500000,84.0,77.0,78.0,84.0,42.0,57.0
285,82,26000000,93.0,71.0,74.0,86.0,50.0,52.0
287,82,7000000,59.0,64.0,73.0,69.0,85.0,77.0
288,82,8000000,61.0,82.0,64.0,75.0,49.0,74.0
289,82,13500000,87.0,69.0,77.0,83.0,69.0,53.0
290,82,11000000,56.0,73.0,85.0,83.0,65.0,58.0
291,82,21500000,72.0,75.0,75.0,76.0,78.0,81.0
292,82,11000000,55.0,63.0,81.0,81.0,77.0,68.0
295,82,19500000,62.0,74.0,83.0,83.0,36.0,47.0
296,82,17500000,46.0,81.0,71.0,72.0,42.0,79.0
297,82,18000000,65.0,55.0,63.0,55.0,81.0,78.0
298,82,21000000,85.0,78.0,80.0,85.0,49.0,60.0
299,82,10500000,58.0,49.0,65.0,67.0,81.0,82.0
300,82,21500000,80.0,79.0,77.0,82.0,47.0,82.0
301,82,21000000,81.0,78.0,77.0,85.0,44.0,73.0
302,82,21500000,81.0,77.0,79.0,83.0,46.0,75.0
303,82,10000000,69.0,74.0,81.0,76.0,82.0,79.0
304,82,23000000,76.0,82.0,73.0,79.0,24.0,76.0
305,82,19500000,83.0,78.0,79.0,86.0,46.0,73.0
306,82,19500000,92.0,79.0,75.0,86.0,47.0,69.0
307,82,21500000,50.0,82.0,57.0,66.0,45.0,80.0
308,82,21500000,73.0,77.0,82.0,82.0,72.0,69.0
309,82,19500000,75.0,77.0,77.0,84.0,43.0,56.0
310,82,23000000,56.0,79.0,71.0,69.0,51.0,78.0
311,82,24000000,87.0,78.0,71.0,84.0,42.0,60.0
312,82,21500000,70.0,72.0,78.0,80.0,82.0,77.0
313,82,23000000,80.0,77.0,81.0,85.0,46.0,69.0
314,82,19000000,82.0,60.0,74.0,79.0,81.0,79.0
315,82,19500000,54.0,43.0,55.0,59.0,83.0,85.0
316,82,23000000,90.0,81.0,72.0,80.0,35.0,76.0
317,82,20000000,79.0,75.0,77.0,75.0,78.0,84.0
318,82,21500000,92.0,76.0,74.0,85.0,34.0,71.0
319,82,24000000,80.0,78.0,76.0,83.0,58.0,72.0
320,82,23000000,91.0,79.0,79.0,83.0,40.0,67.0
321,82,17500000,88.0,81.0,65.0,74.0,55.0,75.0
322,82,23000000,71.0,81.0,56.0,76.0,37.0,83.0
323,82,20000000,89.0,81.0,76.0,85.0,58.0,69.0
325,82,6500000,71.0,61.0,57.0,62.0,82.0,80.0
326,82,17000000,81.0,57.0,74.0,77.0,82.0,74.0
327,82,0,80.0,43.0,56.0,65.0,83.0,76.0
328,82,0,81.0,77.0,81.0,82.0,40.0,71.0
329,81,27000000,81.0,77.0,68.0,82.0,40.0,83.0
330,81,26000000,79.0,71.0,79.0,83.0,66.0,67.0
331,81,26000000,80.0,65.0,78.0,87.0,70.0,78.0
332,81,23000000,79.0,50.0,66.0,71.0,81.0,81.0
334,81,24500000,71.0,78.0,77.0,79.0,71.0,79.0
335,81,22000000,74.0,50.0,72.0,72.0,82.0,78.0
336,81,24000000,69.0,67.0,79.0,84.0,68.0,68.0
337,81,24500000,67.0,76.0,79.0,80.0,71.0,68.0
338,81,23000000,70.0,68.0,77.0,79.0,81.0,84.0
339,81,21000000,85.0,61.0,77.0,80.0,75.0,69.0
340,81,24000000,87.0,73.0,73.0,87.0,36.0,65.0
341,81,22500000,81.0,72.0,81.0,84.0,70.0,61.0
343,81,21500000,51.0,67.0,81.0,71.0,69.0,78.0
344,81,22000000,67.0,76.0,79.0,84.0,68.0,60.0
345,81,21500000,69.0,73.0,76.0,79.0,78.0,88.0
346,81,22500000,74.0,80.0,76.0,80.0,57.0,77.0
347,81,20000000,82.0,54.0,75.0,80.0,80.0,78.0
348,81,22500000,89.0,79.0,61.0,79.0,25.0,73.0
349,81,20000000,69.0,74.0,73.0,77.0,79.0,82.0
350,81,20500000,71.0,62.0,67.0,74.0,83.0,82.0
352,81,19000000,52.0,37.0,52.0,56.0,82.0,80.0
353,81,22000000,76.0,81.0,76.0,78.0,39.0,74.0
354,81,22000000,83.0,74.0,67.0,75.0,56.0,82.0
355,81,21500000,90.0,73.0,78.0,83.0,46.0,61.0
356,81,19500000,62.0,58.0,69.0,65.0,82.0,77.0
357,81,21500000,73.0,75.0,82.0,85.0,66.0,57.0
358,81,21500000,69.0,69.0,80.0,83.0,64.0,67.0
359,81,19000000,78.0,70.0,78.0,79.0,77.0,74.0
360,81,18500000,68.0,33.0,48.0,65.0,83.0,75.0
361,81,19500000,64.0,73.0,79.0,80.0,76.0,73.0
362,81,20500000,78.0,75.0,80.0,84.0,37.0,61.0
363,81,21000000,83.0,70.0,75.0,88.0,62.0,54.0
366,81,17500000,55.0,67.0,76.0,67.0,78.0,84.0
367,81,21000000,76.0,79.0,66.0,78.0,45.0,69.0
368,81,21000000,63.0,80.0,59.0,69.0,39.0,83.0
369,81,8000000,77.0,73.0,82.0,86.0,24.0,63.0
370,81,5500000,68.0,64.0,73.0,62.0,83.0,81.0
371,81,10500000,61.0,70.0,82.0,77.0,77.0,78.0
372,81,6500000,75.0,82.0,73.0,80.0,50.0,70.0
373,81,11000000,70.0,82.0,66.0,75.0,36.0,74.0
374,81,15000000,73.0,68.0,77.0,87.0,77.0,80.0
375,81,13500000,53.0,73.0,87.0,77.0,60.0,56.0
377,81,8500000,60.0,43.0,63.0,64.0,82.0,74.0
378,81,8500000,55.0,42.0,54.0,53.0,82.0,79.0
379,81,15000000,67.0,73.0,79.0,79.0,71.0,72.0
380,81,5500000,36.0,38.0,54.0,60.0,81.0,76.0
381,81,13500000,68.0,68.0,81.0,82.0,72.0,68.0
382,81,6000000,77.0,68.0,75.0,73.0,82.0,78.0
383,81,14000000,85.0,79.0,74.0,77.0,43.0,67.0
384,81,14000000,71.0,77.0,82.0,81.0,38.0,67.0
385,81,13500000,49.0,73.0,84.0,74.0,67.0,71.0
387,81,13000000,52.0,48.0,62.0,63.0,82.0,74.0
389,81,17000000,80.0,70.0,78.0,79.0,79.0,89.0
390,81,7000000,64.0,76.0,76.0,75.0,79.0,79.0
391,81,13500000,61.0,62.0,71.0,70.0,81.0,82.0
392,81,15500000,78.0,72.0,80.0,82.0,41.0,58.0
393,81,14000000,81.0,79.0,79.0,87.0,27.0,56.0
394,81,13500000,58.0,60.0,69.0,69.0,80.0,82.0
395,81,15000000,70.0,44.0,64.0,70.0,82.0,74.0
396,81,14500000,48.0,68.0,77.0,72.0,80.0,78.0
397,81,15000000,66.0,73.0,79.0,77.0,79.0,79.0
398,81,17000000,78.0,76.0,78.0,83.0,55.0,66.0
399,81,15000000,68.0,63.0,76.0,75.0,82.0,82.0
400,81,15000000,82.0,77.0,76.0,80.0,77.0,73.0
401,81,16000000,75.0,81.0,73.0,82.0,39.0,70.0
402,81,16500000,56.0,78.0,80.0,81.0,58.0,72.0
403,81,18000000,82.0,73.0,79.0,82.0,58.0,69.0
404,81,17000000,42.0,69.0,73.0,75.0,78.0,79.0
405,81,18500000,76.0,74.0,81.0,86.0,76.0,84.0
406,81,15500000,82.0,72.0,77.0,83.0,26.0,51.0
407,81,0,71.0,61.0,57.0,62.0,82.0,75.0
408,81,0,82.0,72.0,77.0,83.0,26.0,51.0
409,81,0,80.0,82.0,60.0,71.0,34.0,75.0
410,81,0,80.0,80.0,56.0,74.0,29.0,80.0
411,80,28000000,82.0,80.0,74.0,81.0,40.0,70.0
412,80,21500000,76.0,66.0,78.0,80.0,74.0,69.0
413,80,20000000,81.0,30.0,64.0,68.0,79.0,76.0
414,80,19000000,68.0,31.0,63.0,68.0,82.0,72.0
416,80,20500000,63.0,78.0,82.0,78.0,68.0,67.0
417,80,19000000,79.0,49.0,72.0,71.0,79.0,77.0
418,80,21000000,77.0,74.0,81.0,78.0,62.0,68.0
419,80,18000000,64.0,34.0,46.0,63.0,83.0,74.0
420,80,20000000,70.0,58.0,77.0,83.0,71.0,66.0
421,80,20500000,76.0,80.0,53.0,73.0,38.0,71.0
422,80,20500000,83.0,77.0,70.0,84.0,53.0,76.0
423,80,18500000,58.0,50.0,73.0,71.0,77.0,73.0
424,80,18000000,89.0,64.0,73.0,79.0,75.0,81.0
425,80,20500000,82.0,71.0,77.0,82.0,55.0,61.0
426,80,18500000,64.0,38.0,50.0,59.0,81.0,83.0
428,80,17500000,92.0,51.0,70.0,78.0,76.0,66.0
429,80,17500000,81.0,51.0,77.0,77.0,77.0,77.0
430,80,20000000,82.0,77.0,61.0,76.0,30.0,81.0
432,80,20000000,77.0,79.0,69.0,78.0,53.0,72.0
433,80,20000000,79.0,75.0,76.0,83.0,30.0,57.0
434,80,20000000,84.0,75.0,75.0,85.0,39.0,67.0
435,80,18000000,66.0,48.0,69.0,74.0,79.0,85.0
436,80,19500000,73.0,70.0,75.0,78.0,73.0,78.0
437,80,17500000,89.0,53.0,71.0,77.0,77.0,69.0
438,80,20000000,64.0,80.0,68.0,72.0,32.0,79.0
439,80,19000000,45.0,69.0,79.0,80.0,66.0,67.0
440,80,17500000,64.0,51.0,59.0,55.0,78.0,83.0
441,80,19000000,71.0,67.0,81.0,79.0,72.0,74.0
442,80,17500000,75.0,53.0,70.0,71.0,81.0,77.0
443,80,17000000,79.0,51.0,68.0,75.0,78.0,74.0
444,80,17500000,65.0,71.0,78.0,80.0,73.0,80.0
445,80,19500000,91.0,76.0,72.0,83.0,29.0,69.0
446,80,17500000,61.0,47.0,75.0,76.0,78.0,66.0
447,80,19000000,64.0,73.0,76.0,80.0,75.0,62.0
448,80,17500000,62.0,49.0,58.0,61.0,81.0,74.0
449,80,19500000,77.0,79.0,59.0,78.0,31.0,72.0
450,80,16000000,70.0,67.0,79.0,76.0,78.0,74.0
451,80,18500000,82.0,73.0,78.0,84.0,66.0,73.0
452,80,18000000,61.0,73.0,81.0,77.0,73.0,72.0
453,80,16000000,66.0,46.0,74.0,70.0,81.0,72.0
454,80,19000000,88.0,73.0,75.0,87.0,30.0,56.0
455,80,16000000,82.0,61.0,78.0,85.0,74.0,66.0
457,80,16500000,60.0,49.0,62.0,66.0,80.0,79.0
458,80,18500000,73.0,77.0,81.0,83.0,37.0,50.0
459,80,19000000,82.0,73.0,78.0,82.0,43.0,52.0
461,80,19000000,88.0,80.0,70.0,78.0,39.0,81.0
462,80,16500000,76.0,42.0,58.0,62.0,79.0,80.0
463,80,18500000,89.0,74.0,76.0,82.0,48.0,63.0
464,80,18500000,88.0,62.0,76.0,81.0,54.0,62.0
465,80,18000000,77.0,72.0,78.0,85.0,32.0,50.0
468,80,15500000,64.0,41.0,65.0,63.0,81.0,75.0
469,80,18000000,48.0,76.0,81.0,77.0,65.0,73.0
470,80,16000000,68.0,61.0,64.0,59.0,81.0,80.0
471,80,16000000,71.0,32.0,63.0,54.0,82.0,74.0
472,80,18000000,63.0,74.0,77.0,79.0,76.0,83.0
473,80,17500000,87.0,78.0,67.0,77.0,39.0,75.0
474,80,14500000,59.0,59.0,67.0,65.0,83.0,79.0
475,80,17000000,65.0,78.0,74.0,75.0,70.0,75.0
476,80,14500000,77.0,43.0,74.0,75.0,75.0,81.0
477,80,14500000,52.0,49.0,71.0,73.0,77.0,77.0
478,80,14500000,70.0,56.0,64.0,61.0,80.0,78.0
479,80,17500000,81.0,78.0,76.0,81.0,58.0,75.0
480,80,16500000,60.0,73.0,78.0,77.0,70.0,66.0
481,80,17500000,67.0,75.0,82.0,84.0,59.0,58.0
482,80,17500000,75.0,78.0,65.0,77.0,32.0,72.0
483,80,14500000,69.0,66.0,72.0,72.0,80.0,80.0
484,80,15000000,67.0,68.0,77.0,80.0,76.0,74.0
487,80,5000000,66.0,78.0,83.0,82.0,44.0,56.0
488,80,9500000,64.0,81.0,80.0,76.0,56.0,76.0
490,80,11500000,72.0,75.0,79.0,86.0,37.0,62.0
491,80,4700000,66.0,53.0,72.0,68.0,79.0,75.0
494,80,9500000,69.0,82.0,71.0,71.0,43.0,83.0
495,80,5500000,39.0,83.0,67.0,70.0,41.0,70.0
497,80,7000000,52.0,58.0,69.0,66.0,81.0,76.0
501,80,7000000,60.0,81.0,61.0,79.0,35.0,67.0
502,80,9500000,64.0,64.0,65.0,68.0,83.0,69.0
503,80,12500000,77.0,62.0,74.0,79.0,80.0,75.0
504,80,15500000,75.0,77.0,79.0,82.0,51.0,72.0
505,80,11500000,47.0,82.0,80.0,77.0,72.0,81.0
